snapshot,wind_offshore,CCGT,nuclear,wind_onshore,EU_import,waste_to_energy,solar_pv,landfill_gas,OCGT,large_hydro,coal,advanced_biofuel,biogas,storage_discharge,small_hydro,sewage_gas,shoreline_wave,tidal_stream,load_shedding,oil
2023-01-02 03:00:00,0.0,0.0,0.0,0.0,980.598,748.0799999999999,0.0,90.06,0.0,0.0,0.0,42.852,40.608,0.0,0.0,6.024,0.0,0.0,0.0,0.0
2023-01-02 04:00:00,0.0,0.0,0.0,0.0,956.16,748.0799999999999,0.0,90.06,0.0,0.0,0.0,42.852,40.608,0.0,0.0,6.024,0.0,0.0,0.0,0.0
2023-01-02 05:00:00,0.0,0.0,0.0,0.0,649.6759999999999,748.0799999999999,0.0,90.06,0.0,0.0,0.0,42.852,40.608,0.0,0.0,6.024,0.0,0.0,0.0,0.0
2023-01-02 06:00:00,0.0,0.0,0.0,0.0,530.976,748.0799999999999,0.0,90.06,0.0,0.0,468.5,42.852,40.608,0.0,0.0,6.024,0.0,0.0,0.0,0.0
2023-01-02 07:00:00,0.0,0.0,0.0,0.0,739.6560000000001,748.0799999999999,0.0,90.06,0.0,0.0,468.5,42.852,40.608,0.0,0.0,6.024,0.0,0.0,0.0,0.0
2023-01-02 08:00:00,0.0,0.0,0.0,0.0,540.13,748.0799999999999,0.0,90.06,0.0,0.0,468.5,42.852,40.608,0.0,0.0,6.024,0.0,0.0,0.0,0.0
2023-01-02 09:00:00,0.0,1658.9784059379258,0.0,0.0,769.02,748.0799999999999,0.0,90.06,249.984,0.0,468.5,42.852,40.608,0.0,0.0,6.024,0.0,0.0,0.0,0.0
2023-01-02 10:00:00,0.0,2482.364621555612,0.0,0.0,935.03,748.0799999999999,0.0,90.06,282.534,0.0,468.5,42.852,40.608,0.0,0.0,6.024,0.0,0.0,0.0,0.0
2023-01-02 11:00:00,0.0,2985.4632788570525,0.0,0.0,727.9639999999999,748.0799999999999,0.0,90.06,282.534,0.0,468.5,42.852,40.608,0.0,0.0,6.024,0.0,0.0,0.0,0.0
2023-01-02 12:00:00,0.0,2659.108078627199,0.0,0.0,940.64,748.0799999999999,0.0,90.06,256.494,0.0,468.5,42.852,40.608,0.0,0.0,6.024,0.0,0.0,0.0,0.0
2023-01-02 13:00:00,0.0,2419.1600000000003,0.0,0.0,800.9879999999999,748.0799999999999,0.0,90.06,651.1265866075779,0.0,468.5,42.852,40.608,0.0,0.0,6.024,0.0,0.0,0.0,0.0
2023-01-02 14:00:00,0.0,2407.686732672136,0.0,0.0,805.556,748.0799999999999,0.0,90.06,249.984,0.0,468.5,42.852,40.608,0.0,0.0,6.024,0.0,0.0,0.0,0.0
2023-01-02 15:00:00,0.0,3394.4416219407167,0.0,0.0,843.8639999999999,748.0799999999999,0.0,90.06,282.534,0.0,468.5,42.852,40.608,0.0,0.0,6.024,0.0,0.0,0.0,0.0
2023-01-02 16:00:00,0.0,4764.086478036241,0.0,0.0,857.794,748.0799999999999,0.0,90.06,317.688,0.0,468.5,42.852,40.608,0.0,0.0,6.024,0.0,0.0,0.0,0.0
2023-01-02 17:00:00,0.0,5723.935925110783,0.0,0.0,1129.918,748.0799999999999,0.0,90.06,686.154,0.0,468.5,42.852,40.608,0.0,0.0,6.024,0.0,0.0,0.0,0.0
2023-01-02 18:00:00,0.0,5363.281026740714,0.0,0.0,1181.07,748.0799999999999,0.0,90.06,734.328,0.0,468.5,42.852,40.608,0.0,0.0,6.024,0.0,0.0,0.0,0.0
2023-01-02 19:00:00,0.0,4726.266841540876,0.0,0.0,1126.98,748.0799999999999,0.0,90.06,627.5640000000001,0.0,468.5,42.852,40.608,0.0,0.0,6.024,0.0,0.0,0.0,0.0
2023-01-02 20:00:00,0.0,3948.5338116274343,0.0,0.0,1073.608,748.0799999999999,0.0,90.06,282.534,0.0,468.5,42.852,40.608,0.0,0.0,6.024,0.0,0.0,0.0,0.0
2023-01-02 21:00:00,0.0,2769.564633215271,0.0,0.0,1148.216,748.0799999999999,0.0,90.06,282.534,0.0,468.5,42.852,40.608,0.0,0.0,6.024,0.0,0.0,0.0,0.0
2023-01-02 22:00:00,0.0,1330.6675797033154,0.0,0.0,1105.08,748.0799999999999,0.0,90.06,223.94400000000002,0.0,468.5,42.852,40.608,0.0,0.0,6.024,0.0,0.0,0.0,0.0
2023-01-02 23:00:00,0.0,471.74036898195567,0.0,0.0,941.1759999999999,748.0799999999999,0.0,90.06,0.0,0.0,468.5,42.852,40.608,0.0,0.0,6.024,0.0,0.0,0.0,0.0
2023-01-03 00:00:00,0.0,0.0,0.0,0.0,935.738,748.0799999999999,0.0,90.06,0.0,0.0,373.6966075327316,42.852,40.608,0.0,0.0,6.024,0.0,0.0,0.0,0.0
2023-01-03 01:00:00,0.0,0.0,0.0,0.0,870.058,748.0799999999999,0.0,90.06,0.0,0.0,0.0,42.852,40.608,0.0,0.0,6.024,0.0,0.0,0.0,0.0
2023-01-03 02:00:00,0.0,0.0,0.0,0.0,682.144,748.0799999999999,0.0,90.06,0.0,0.0,0.0,42.852,40.608,0.0,0.0,6.024,0.0,0.0,0.0,0.0
2023-01-03 03:00:00,0.0,0.0,0.0,0.0,530.4359999999999,748.0799999999999,0.0,90.06,0.0,0.0,0.0,42.852,40.608,0.0,0.0,6.024,0.0,0.0,0.0,0.0
2023-01-03 04:00:00,0.0,0.0,0.0,0.0,297.942,748.0799999999999,0.0,90.06,0.0,0.0,0.0,42.852,40.608,0.0,0.0,6.024,0.0,0.0,0.0,0.0
2023-01-03 05:00:00,0.0,0.0,0.0,0.0,442.904,748.0799999999999,0.0,90.06,0.0,0.0,0.0,42.852,40.608,0.0,0.0,6.024,0.0,0.0,0.0,0.0
2023-01-03 06:00:00,0.0,0.0,0.0,0.0,431.97999999999996,748.0799999999999,0.0,90.06,0.0,0.0,0.0,42.852,40.608,0.0,0.0,6.024,0.0,0.0,0.0,0.0
2023-01-03 07:00:00,0.0,0.0,0.0,0.0,446.544,748.0799999999999,0.0,90.06,0.0,0.0,0.0,42.852,40.608,0.0,0.0,6.024,0.0,0.0,0.0,0.0
2023-01-03 08:00:00,0.0,0.0,0.0,0.0,34.094,748.0799999999999,0.0,90.06,0.0,0.0,56.869328707994974,42.852,40.608,0.0,0.0,6.024,0.0,0.0,0.0,0.0
