snapshot,wind_offshore,CCGT,nuclear,EU_import,wind_onshore,waste_to_energy,solar_pv,landfill_gas,OCGT,coal,advanced_biofuel,biogas,large_hydro,storage_discharge,small_hydro,sewage_gas,shoreline_wave,tidal_stream,oil,load_shedding
2023-01-01 00:00:00,0.0,0.010403620966837935,0.0,215.942,0.0,747.98955012516,0.0,0.1881511238450883,0.005820133563424237,0.0007484046302345631,0.004434639438528555,0.01470141938143353,0.0,0.0,0.0,0.0032806671723862183,0.0,0.0,0.0059052469854170165,0.0
2023-01-01 01:00:00,0.0,0.010306129030424991,0.0,208.594,0.0,739.2293788447671,0.0,7.630233723125971,0.005910463571622709,0.0006734922549333224,0.0042989546956459495,0.014115873349360979,0.0,0.0,0.0,0.0031543868989071648,0.0,0.0,0.005928878162661667,0.0
2023-01-01 02:00:00,0.0,0.00988391296099658,0.0,208.20600000000002,0.0,678.8756645385125,0.0,8.037976689506394,0.005733098222391319,0.0006038972074140757,0.004088684084649984,0.01334898806237526,0.0,0.0,0.0,0.0028997528593528825,0.0,0.0,0.005815474423405973,0.0
2023-01-01 03:00:00,0.0,0.009333892552603654,0.0,208.1,0.0,515.6323488805111,0.0,9.09367093186489,0.005393384258937912,0.00046579546145564726,0.004031568232587608,0.01266210866627674,0.0,0.0,0.0,0.0026463031504248484,0.0,0.0,0.005603267476413923,0.0
2023-01-01 04:00:00,0.0,0.009352662881821011,0.0,197.5,0.0,521.1014492326256,0.0,8.247063456233883,0.005421967556680604,0.0004681751444406742,0.0040342664432549925,0.012603719857903454,0.0,0.0,0.0,0.0026323071166211433,0.0,0.0,0.005619110503723675,0.0
2023-01-01 05:00:00,0.0,0.009351758042443304,0.0,147.87,0.0,648.5468135064365,0.0,11.18042011495813,0.005409033977555968,0.0004671296669876291,0.004029459828322806,0.012637326248168433,0.0,0.0,0.0,0.002649832232672187,0.0,0.0,0.0056101108576023,0.0
2023-01-01 06:00:00,0.0,0.009338894514878852,0.0,157.834,0.0,615.2436522425326,0.0,13.667360093789224,0.005385498059675197,0.000466211438746948,0.00401000414810017,0.012619940154224567,0.0,0.0,0.0,0.002645105150924622,0.0,0.0,0.005596616641062977,0.0
2023-01-01 07:00:00,0.0,0.009566377628885143,0.0,158.78799999999998,0.0,662.4341585446451,0.0,16.288994502061627,0.0055022073735761096,0.0004723613776220449,0.004330396020389273,0.013565443703839022,0.0,0.0,0.0,0.0031413266432967117,0.0,0.0,0.005679896411786071,0.0
2023-01-01 08:00:00,0.0,0.0095255465898816,0.0,158.47,0.0,516.1924679297354,0.0,20.862453484439495,0.005440640546222801,0.0004390131049971761,0.0047519400489625324,0.014846864476689514,0.0,0.0,0.0,0.0036334182534492167,0.0,0.0,0.005641162380771942,0.0
2023-01-01 09:00:00,0.0,0.009499606143077583,0.0,255.27999999999997,0.0,515.3075069437589,0.0,20.975068373626648,0.005345080683822031,0.0004259063435381978,0.005161528815973599,0.016186251969889435,0.0,0.0,0.0,0.0038970075068476087,0.0,0.0,0.005608370847685186,0.0
2023-01-01 10:00:00,0.0,0.00947557773371347,0.0,915.0379999999999,0.0,515.3062899686183,0.0,21.0678689703135,0.0053655324118277725,0.0004223421689206541,0.005233543709313965,0.016347157376758077,0.0,0.0,0.0,0.003957317391652959,0.0,0.0,0.00562963251805723,0.0
