snapshot,system_emissions_t,system_generation_mwh,system_gCO2_per_kWh
2023-01-01 00:00:00,815.5963435095933,30201.517915067547,27.00514410577662
2023-01-01 01:00:00,816.295616095768,30113.210764190113,27.107558290213497
2023-01-01 02:00:00,587.5478260869564,29041.937564481843,20.231013333129837
2023-01-01 03:00:00,588.7826086956521,28803.07352488347,20.441659053746218
2023-01-01 04:00:00,551.5999999999999,28552.66001050949,19.31869044064442
2023-01-01 05:00:00,606.0869565217391,28904.20329326387,20.968817246832327
2023-01-01 06:00:00,642.5739130434782,29250.950732654062,21.96762487880936
2023-01-01 07:00:00,647.9130434782609,29616.73624753972,21.876584849287145
2023-01-01 08:00:00,632.6608695652174,29739.018326820737,21.273764406494863
2023-01-01 09:00:00,702.5252173913043,30089.22734554087,23.348064386087216
2023-01-01 10:00:00,1109.9488678802338,31468.060598919707,35.27223625336282
2023-01-01 11:00:00,1299.9084147870362,31964.916927261187,40.66672276186687
2023-01-01 12:00:00,1610.830956521739,33521.401413043466,48.05380707904863
2023-01-01 13:00:00,1616.6744347826086,33662.16228260869,48.026458348394684
2023-01-01 14:00:00,1618.2570434782608,33631.727499999986,48.116976550736545
2023-01-01 15:00:00,1621.1266086956523,34524.66228260869,46.95561090288411
2023-01-01 16:00:00,1623.265739130435,36530.64054347826,44.43573162092372
2023-01-01 17:00:00,1594.9005217391305,37650.88426206295,42.360240748612455
2023-01-01 18:00:00,1620.657043478261,36471.717391304344,44.43599477617857
2023-01-01 19:00:00,1621.3874782608696,34707.04347826086,46.71638133845782
2023-01-01 20:00:00,1533.3721739130438,32694.3998293853,46.90014748442847
2023-01-01 21:00:00,1218.6434782608696,31036.878225373835,39.264370256947494
2023-01-01 22:00:00,1223.2,30721.24850500189,39.816090150139715
2023-01-01 23:00:00,1250.3478260869565,29068.55425217392,43.013760341845966
2023-01-02 00:00:00,1250.8000000000002,28665.83686086958,43.633821195271295
2023-01-02 01:00:00,1251.2,28513.551637131095,43.8808891969338
2023-01-02 02:00:00,1250.8000000000002,28497.491236467133,43.89158293342678
2023-01-02 03:00:00,1272.4,28689.29646598334,44.351035289717686
2023-01-02 04:00:00,1194.0,28720.215143988855,41.57350472529118
2023-01-02 05:00:00,836.0,28177.66894024856,29.668884313062183
2023-01-02 06:00:00,657.6000000000001,27850.557837879558,23.611735313452073
2023-01-02 07:00:00,627.4608695652173,28190.820170720075,22.257630880030906
2023-01-02 08:00:00,680.8971947994316,29338.437445890177,23.208366023420034
2023-01-02 09:00:00,1590.402434782609,32490.854482716277,48.94923387221576
2023-01-02 10:00:00,1884.0024347826086,35142.69124643609,53.610078453330466
2023-01-02 11:00:00,1779.1328695652173,36106.47044232903,49.27462717262638
2023-01-02 12:00:00,1701.918608695652,36427.57851841658,46.72060778992538
2023-01-02 13:00:00,1571.1672578786656,36258.18589206288,43.33275974026607
2023-01-02 14:00:00,1689.0720000000001,36415.5814634041,46.38322201987728
2023-01-02 15:00:00,1986.576859126007,36809.37969816471,53.969310958670036
2023-01-02 16:00:00,2871.6959999999995,40264.67391304351,71.32048321567879
2023-01-02 17:00:00,3974.646780294504,42814.130434782615,92.83492949480674
2023-01-02 18:00:00,3879.4004478898087,41735.32608695653,92.95244129174856
