timestamp_utc,neso_actual,zonal_17bus,reduced_32bus,reduced_32bus_copperplate,reduced_minus_zonal,reduced_minus_copperplate
2023-01-01 00:00:00+00:00,76.0,26.335355493473884,33.792477602962414,24.106039691060676,7.45712210948853,9.686437911901738
2023-01-01 01:00:00+00:00,68.5,12.470032648244077,32.594896985947145,14.77947235413176,20.124864337703066,17.815424631815382
2023-01-01 02:00:00+00:00,65.0,7.706489591203046,30.20232420478855,7.624053283761449,22.495834613585505,22.5782709210271
2023-01-01 03:00:00+00:00,67.5,7.768440551752127,25.37208274309324,7.681675570354913,17.603642191341116,17.69040717273833
2023-01-01 04:00:00+00:00,72.0,7.555460013528729,25.56908515921792,7.418611830341023,18.01362514568919,18.1504733288769
2023-01-01 05:00:00+00:00,72.5,6.0718874775432985,28.392129299396604,29.72317175289652,22.320241821853305,-1.331042453499915
2023-01-01 06:00:00+00:00,72.5,27.78301961328384,27.990372655263304,31.85544987662772,0.20735304197946292,-3.865077221364416
2023-01-01 07:00:00+00:00,74.5,31.880764568288004,29.89064770152396,32.19715452072083,-1.990116866764044,-2.306506819196869
2023-01-01 08:00:00+00:00,77.5,32.09114536380448,25.306829992777264,32.25276717555435,-6.7843153710272155,-6.945937182777083
2023-01-01 09:00:00+00:00,78.0,35.063365591922626,28.70898531010989,35.16953320291291,-6.354380281812734,-6.460547892803017
2023-01-01 10:00:00+00:00,85.0,53.05002916762081,48.690667168980944,52.95178309274975,-4.359361998639862,-4.261115923768806
2023-01-01 11:00:00+00:00,89.5,52.81970841431404,48.49496105353151,52.46407725371645,-4.324747360782531,-3.969116200184935
2023-01-01 12:00:00+00:00,91.5,52.43607519110344,48.09609676634727,51.91989331864114,-4.339978424756168,-3.8237965522938637
2023-01-01 13:00:00+00:00,93.5,53.50398955328032,50.656222791726925,52.91848200125444,-2.8477667615533946,-2.262259209527514
2023-01-01 14:00:00+00:00,108.5,55.88865635870291,54.68926238565174,54.32417006541556,-1.1993939730511727,0.36509232023617955
2023-01-01 15:00:00+00:00,137.0,73.34523832491847,64.81879825860645,59.79160171933297,-8.52644006631202,5.027196539273483
2023-01-01 16:00:00+00:00,152.5,69.56382938161292,98.82117986090098,70.62889113743189,29.257350479288064,28.19228872346909
2023-01-01 17:00:00+00:00,161.0,89.83759271959704,98.03088541381922,76.36589179613279,8.19329269422218,21.664993617686434
2023-01-01 18:00:00+00:00,159.0,118.8960536667503,119.57694918755725,91.30095456218896,0.680895520806942,28.275994625368284
2023-01-01 19:00:00+00:00,162.0,120.29435948627808,131.7775391330318,107.41779751372306,11.483179646753726,24.35974161930875
2023-01-01 20:00:00+00:00,163.0,122.25886375491716,140.13426825592336,106.82127611694018,17.8754045010062,33.31299213898318
2023-01-01 21:00:00+00:00,159.0,111.4774113168202,137.03315793470628,95.72845234273407,25.555746617886086,41.30470559197221
2023-01-01 22:00:00+00:00,151.5,95.49240667752343,119.38656268415042,73.16963276565568,23.894156006626986,46.21692991849474
2023-01-01 23:00:00+00:00,152.5,123.10110125821365,97.52396125890576,78.41749991400661,-25.57713999930789,19.106461344899145
2023-01-02 00:00:00+00:00,140.5,117.73127060650768,94.29717806636324,95.62972137779153,-23.434092540144434,-1.3325433114282816
2023-01-02 01:00:00+00:00,128.0,107.17653672943354,79.32611942503262,79.17350955924084,-27.85041730440092,0.15260986579177427
2023-01-02 02:00:00+00:00,124.5,104.6989594018108,80.71088565080734,79.06609484770763,-23.988073751003455,1.6447908030997098
2023-01-02 03:00:00+00:00,120.0,76.24204863222567,74.66294212875202,74.05386496717479,-1.5791065034736533,0.6090771615772326
2023-01-02 04:00:00+00:00,124.0,74.32672832642456,73.32647739496737,72.73502664818471,-1.0002509314571881,0.5914507467826553
2023-01-02 05:00:00+00:00,121.0,66.60829886425638,66.22690910689074,65.67195796029739,-0.38138975736563907,0.5549511465933534
2023-01-02 06:00:00+00:00,133.5,81.05229255877263,81.1407449021383,81.65677966101644,0.08845234336565966,-0.5160347588781491
2023-01-02 07:00:00+00:00,151.5,84.62853447460633,83.9418744550749,84.47327308323568,-0.6866600195314305,-0.5313986281607868
2023-01-02 08:00:00+00:00,158.5,108.04238644047014,100.74408045429956,71.82084237467271,-7.2983059861705755,28.923238079626856
2023-01-02 09:00:00+00:00,163.5,168.59359252511837,154.90514603800497,136.58893323067295,-13.688446487113396,18.316212807332022
2023-01-02 10:00:00+00:00,152.0,173.60805791512942,158.3924788890515,158.95360641159024,-15.215579026077933,-0.5611275225387544
2023-01-02 11:00:00+00:00,153.5,179.8266611158406,168.72184628206384,163.7264572200654,-11.104814833776771,4.995389061998424
2023-01-02 12:00:00+00:00,150.0,172.97173252682467,161.62211509381328,157.09890016382295,-11.349617433011389,4.523214929990331
2023-01-02 13:00:00+00:00,160.0,171.36663975478484,157.83499929175397,159.77307045036235,-13.531640463030868,-1.9380711586083805
2023-01-02 14:00:00+00:00,166.5,163.99377654596077,149.9360415192697,147.73430820618998,-14.057735026691063,2.2017333130797283
2023-01-02 15:00:00+00:00,187.5,188.4797217989942,179.19892069237258,175.87502963293224,-9.280801106621624,3.323891059440342
