snapshot,CCGT,nuclear,wind_offshore,EU_import,wind_onshore,waste_to_energy,solar_pv,OCGT,landfill_gas,coal,large_hydro,advanced_biofuel,biogas,storage_discharge,small_hydro,sewage_gas,shoreline_wave,oil,load_shedding,tidal_stream
2023-01-01 00:00:00,3081.447817465512,5721.760435175828,6038.297205557247,2974.000000000032,5104.746402892585,2470.418200660542,2.0995286768429217e-06,458.4442028984805,717.8067339434024,497.81097267719633,347.13792963002743,354.2687654467759,317.1452946793884,0.0,64.5469519135317,49.19971549490438,9.195559405393395,1.6224835479425836,2.541140433183668,0.8095978839182675
2023-01-01 01:00:00,2592.1738873771164,5703.746200305653,6459.973288240553,2752.0000000000314,5291.582507099786,2470.4279049582506,2.1209169899137296e-06,385.2052314838609,715.7501887693816,497.7611767007952,347.13992709401685,354.2724731868507,317.1646260576073,0.0,63.852196379912556,49.200419423929006,9.19252621188257,1.63435039396335,2.540440656660012,0.2732845108004141
2023-01-01 02:00:00,1598.8092418401654,5714.717972127027,6491.719263777518,2754.000000000032,5344.3505442018695,2470.437566585836,2.050136632503536e-06,293.7315394364979,715.7370184024129,497.6416448428489,347.1418439804108,354.2724597077266,317.14982829025445,0.0,64.58154430395152,49.20047389145851,9.208368135022072,1.6421285456891246,2.5394857530555286,0.4391903325676381
2023-01-01 03:00:00,957.2785778594077,5706.713242917469,6521.606311200694,2752.000000000032,5030.925662585235,2470.458123699572,1.999285734269309e-06,205.17356672298692,715.6243820046328,497.6321154103067,347.1435794198752,354.2406358479949,317.1238328709532,0.9008618263502778,64.59770335682059,49.20007861410387,9.227197469731399,1.6526581645647593,2.539613225168428,1.894620756768369
2023-01-01 04:00:00,535.7546290089152,5706.736831503438,6550.913898552354,2552.000000000032,4685.773991806798,2470.4889151211964,1.9606315384562443e-06,125.10567723563415,715.6701902822509,495.41560486568335,347.14651043594716,354.2680230185324,317.0545585304899,3.432071758288008,64.59970092345488,49.197518929298525,9.26827430558043,1.6703469479469062,2.5406879809455045,4.66460826332623
2023-01-01 05:00:00,746.93214745058,5719.739541280954,6508.661555709746,2790.0000000000314,4337.548725401916,2470.4974344624666,2.072886750024108e-06,163.78514867189102,715.7035790552219,497.2894223726734,347.1468500397302,354.27437931950135,317.0881830690055,35.5032131114074,64.62900502499215,49.199403118467536,9.293907433412327,1.6755196131202832,2.54121037779252,5.334848933050151
2023-01-01 06:00:00,1132.2005417619405,5722.729675887072,6457.858373537328,2978.000000000032,4145.988458075509,2470.492052558189,2.048779134601719e-06,223.44737814283283,717.4258606435596,497.8469486216331,347.1460498972403,354.27838264371195,317.1201633227265,29.26856185104747,63.8166901822662,49.20085356767785,9.296088109077743,1.6737759117147715,2.541627582677475,2.6901820633154827
2023-01-01 07:00:00,1651.4766891517206,5720.720521210136,6332.802452145727,2996.0000000000314,3991.6303969437436,2470.4750688461913,2.2399938004714066e-06,289.45731850229606,716.4742524204553,497.52711114036373,347.14443864730583,354.2419433884785,317.1312840724422,19.031796617628185,64.66134189348777,49.20097136615382,9.910289996583323,1.6619901961038615,2.541302692474185,0.4034067285716106
2023-01-01 08:00:00,1981.5476173333773,5729.714858695739,6316.496397585826,2990.000000000032,3961.739504189376,2470.4632530968183,2.202675493304163e-06,324.76185911749246,715.791580003812,497.5841043206854,347.1438263133937,354.27416254933,317.1377761932996,13.582985559568804,64.66666483638669,49.20039902180652,9.347651300328451,1.6583900005279795,2.5413105053384006,0.24168623110712392
2023-01-01 09:00:00,1851.2545436062594,5718.747572141301,6326.14422004035,3226.0000000000314,3964.835300377777,2470.498181483449,156.18367905587715,306.7289183508703,714.864664448687,497.5647657972678,347.146385281654,354.2850610599144,317.1848544035241,10.309802786858143,64.67322468884443,49.19921970447608,9.354503363948501,1.6840925901521704,2.543930283928005,1.391625210208656
2023-01-01 10:00:00,658.1732279152034,5723.779392065113,6357.420507449544,5214.000000000032,3984.7093670917966,2470.5444860646676,948.0989361516301,144.8564630633288,716.2947302059332,495.99966139308117,347.1500493992612,354.29051987956063,317.11393529727445,6.630458572073499,64.6719918077684,49.19694976729277,9.368421896127899,1.7113484483569983,2.545669127917489,4.655484785521937
2023-01-01 11:00:00,1336.1428599160768,5719.7852048714785,6127.089140331209,5736.000000000032,3817.699665786678,2470.518979215519,1955.964786648004,250.79915370593744,716.8206918071434,497.6215738129871,347.14753455095007,354.259528213668,317.17710699290075,6.945641011917762,64.68466627791271,49.19960248927162,9.394506876908807,1.6967665440678652,2.5468171832464606,6.394730434474657
2023-01-01 12:00:00,2178.403551294597,5716.748385804309,6020.386332152744,6058.000000000032,3694.1204387254056,2470.4782888504988,2384.7838687686217,347.74428014667217,714.8905161993177,497.6353316281203,347.14445963883213,354.2860289850621,317.1908001923462,6.656643819861503,65.77493675914924,49.19926509803258,9.392826560212123,1.6720359254252157,2.546860366395884,3.9611390398663
2023-01-01 13:00:00,2838.1707056166993,5719.742446473819,5898.559641782607,6090.000000000032,3454.225294550081,2470.460385007672,2137.300358702549,400.749212583337,714.8614877743131,497.67669628961727,347.1428531138344,354.28265583159936,317.1928369147257,6.186183935870487,64.69804301226114,49.19918324273032,9.390626534243058,1.6652591526545282,2.5471274054107784,0.8682003877101893
2023-01-01 14:00:00,3486.328987436844,5726.734880476171,5931.600669286093,6092.000000000032,3378.2063525653075,2470.452908358306,1446.4335614070521,438.69566091853903,714.8568475462272,497.7270932601849,347.1422784150801,354.28295120258935,317.19525230391395,5.885874128251183,64.71349524167101,49.19879006715367,9.406663624051404,1.6608185180278587,2.5469773967504024,0.32652443838896195
2023-01-01 15:00:00,5313.719173442271,5720.727238745516,5946.101963561677,6092.000000000032,3050.5892803141533,2470.4331836932633,701.8684226518916,520.9170379052301,714.9854269108764,497.69651426167394,347.14050667284323,354.249245881545,317.1993630499965,6.047351228581549,64.73113308050989,49.19890262927332,9.38142233235444,1.6471901743141322,2.546939155231664,0.8349564034267047
2023-01-01 16:00:00,8714.7847810704,5724.745344578649,5172.649244877912,6112.000000000032,2633.3513532722845,2476.4346399152105,107.59038644468284,607.5472926154142,717.9605541723496,497.77266171497735,347.1360892823896,354.28084841102316,317.21014729769803,6.163487401815127,64.74275300019012,49.20030052903596,9.404100983679315,1.6421453795755714,2.5474246789555006,3.7609680990982794
2023-01-01 17:00:00,10628.756692650404,5724.761801494385,4640.068409169446,5966.000000000032,2334.3605841571634,2488.6042757128157,2.380352841421108e-06,640.800915681642,725.2120153553103,497.73729382820954,347.1339556638325,354.27496795956955,317.1770197575516,6.42585346913916,64.7565008656783,49.20143682060514,9.392507983817822,1.637454992248199,2.5475153621263993,6.307954496421981
2023-01-01 18:00:00,9761.088883359926,5717.753735493375,4304.064051453304,6108.000000000032,2201.8955401796825,2488.6080280683536,2.0981487675532653e-06,625.7345047220506,725.209728697201,497.76198025371076,347.13549459009573,354.2759263400951,317.1745229658544,6.921620597233905,64.76674107735138,49.200925663595214,9.36500849226099,1.6390256643583019,2.5479731274151316,4.624170800292503
2023-01-01 19:00:00,8591.644324329129,5717.745920068482,4059.816612677701,6112.000000000032,1894.674714966635,2488.618514518485,1.7437861015507593e-06,602.755810026717,725.1204632906995,497.76864126656403,347.1388824538509,354.2473360668605,317.1714287927534,7.710601014127044,64.78153853093104,49.20030823234803,9.356934102023423,1.6437403805705815,2.54832046982517,1.4473101615234332
2023-01-01 20:00:00,7717.620932130898,5714.742205008239,3536.8220455430587,6112.000000000032,1764.5234337489433,2488.6200377187306,1.4065443403709442e-06,586.961420212853,725.204741221952,497.7497927696584,347.1409816340267,354.27884154020006,317.17288505762434,8.603228255330901,64.79751829960259,49.19948228096601,9.34811338149398,1.6462612644167445,2.549304795215161,0.6619202896429119
2023-01-01 21:00:00,6017.058880544277,5714.719121933282,3191.9849745102033,6092.000000000032,1876.82676138411,2488.6175019777384,1.1772363966650524e-06,544.5690508992047,725.1949439285972,497.69836778534716,347.1431710528925,354.2756721736003,317.17344525380804,9.669066488149493,64.20006393674285,49.19821738515383,9.3657583565679,1.644681892973602,2.549030891488624,0.694205969866536
2023-01-01 22:00:00,4061.7148450629625,5719.773924725828,3039.575035843539,6136.0,1808.9317424269611,2488.682923877413,1.1344620939431434e-06,467.33486510736304,725.2017957204755,497.75948552560243,347.149127649436,354.2864464821348,317.18062249397195,11.429873549102545,64.8143733608521,49.19887508740001,9.364665534649681,1.6866434522298779,2.550142182161504,3.470415540809772
2023-01-01 23:00:00,2358.505281942193,5717.802009178633,3056.9399519719686,6242.000000000032,1876.5651178608393,2488.7554900495156,1.0767968606394373e-06,350.93016696231905,725.1228375073724,497.63153142519485,347.1573325779473,354.2755274233648,317.18894184834375,14.361197652465902,64.82060335113896,49.19944048590289,9.353750061386178,1.7318388721939084,2.5514045727082797,6.450984332880859
2023-01-02 00:00:00,1906.042405373738,5723.795011257589,3146.367642895673,6254.000000000032,1989.448216868422,2488.766789204897,1.0772461556823268e-06,310.1354594275666,725.2155509991231,497.61725569412846,347.1915616182385,354.3119414767441,317.18979669889853,18.341596512987643,65.59006717344693,49.19994453303737,9.362056886792418,1.7397431225535762,2.5510728018282127,5.471713756611934
2023-01-02 01:00:00,1214.9102018984997,5722.794875638633,3243.8631657901833,6274.0,2245.0806749219205,2488.798500306449,1.1450736783742787e-06,230.47249495057977,725.2022160697247,497.93945329884457,347.19602130067085,354.31477971326353,317.16607998014183,26.954380217669474,65.594498236185,49.19933521133629,9.385517047206118,1.7577708978006616,2.5510843280109623,1.956998653276405
2023-01-02 02:00:00,504.0498841743823,5713.759732232723,3529.4527642430876,6254.000000000032,2405.8312005831594,2488.566135225864,1.2048782902283265e-06,503.99321085063843,723.8438711882109,494.7716445115417,347.14425104675934,353.90453055876105,315.4547915769781,0.11488234658218446,65.28062561454597,49.16539608708683,9.377608809174255,1.485254776526582,2.545924148316676,0.5522004296095705
2023-01-02 03:00:00,202.64975344056353,5712.70723289639,4184.788222473903,6362.000000000032,2670.4757579297257,2488.3470952475345,1.3835809492641788e-06,63.58435460067499,721.4726817041519,341.25031263722394,347.0907038345444,352.5923047231415,310.6417472589739,0.13977933211292143,64.89091616418848,49.10940745758006,9.353618047736143,1.4093579692278726,2.543284374767458,0.8603508681873819
2023-01-02 04:00:00,35.7867491892746,5707.753652470589,4491.032424046075,5970.000000000032,2570.6395444197874,2475.6045895206757,1.607936632112046e-06,9.557047657555197,715.1094373487376,1.484253322221501,347.1539150669559,353.59789716245933,313.1932364085318,0.435357221605274,65.28007832553821,49.06668242112241,9.371275117507869,1.454621923959988,2.5460864891024704,3.5049784709098533
2023-01-02 05:00:00,523.7474239584823,5711.781515738831,4440.602617771013,4180.000000000032,2554.475309451722,2470.566648802502,1.681154669370895e-06,124.5545475810654,717.6632853183754,493.08820964239845,347.18991189538895,354.2729787893974,316.96910738374334,60.200601442071004,65.59130431430616,49.19427670196346,9.374678066845226,1.7042841328844782,2.54614633820298,7.010582544192921
2023-01-02 06:00:00,2445.213154776857,5717.776609117469,4365.456219289164,3288.0000000000314,2511.923340568631,2470.51029234625,1.6701464360464195e-06,366.55652015150764,717.8102221322325,497.7158818940372,347.18709209813915,354.290946019877,317.1685802950008,173.48258412575578,65.63489352548686,49.199579727279335,9.377651604025,1.6941074258111484,2.5451895115740717,6.6478452293561405
