snapshot,wind_offshore,CCGT,nuclear,wind_onshore,EU_import,waste_to_energy,solar_pv,landfill_gas,OCGT,coal,large_hydro,advanced_biofuel,biogas,storage_discharge,small_hydro,sewage_gas,shoreline_wave,tidal_stream,oil,load_shedding
2023-01-01 00:00:00,11504.394313502018,0.02792510363107639,5721.997056602227,5411.284693784084,2756.0,1723.2365196276144,2.0227686393422595e-07,0.267446457078408,0.00528987861342348,0.000651671675766887,347.5830731299315,0.013829675727775536,0.05656615061348458,0.0,67.45227318225216,0.010972079445686055,9.288954065044463,0.9516524987521564,0.00389056259919773,5.4169863636107144e-05
2023-01-01 01:00:00,12414.37142050065,0.018263549423619782,5703.996249177633,5492.235928369385,2752.0,436.0804735141375,1.6494379061421978e-07,0.24558149486332148,0.005069303022832047,0.0005346546545998659,347.5827822670998,0.013332246634587857,0.05277349645491347,0.0,66.75153227408968,0.00974869623994892,9.285782614483265,0.3104019272730664,0.0037806537348164765,5.173303141917273e-05
2023-01-01 02:00:00,12880.019558673737,0.017167220865153168,5714.996182557648,5534.959924279432,2754.0,7.531256034374312,1.251942375111503e-07,0.22753879477713296,0.005092257316110578,0.0005070295443448061,347.5827156859244,0.014288460788559986,0.0507211617153567,0.0,67.47980714743653,0.009212654938297997,9.301511456697542,0.47404770580643674,0.0037610732801988487,4.932891581739019e-05
2023-01-01 03:00:00,13022.943864255696,0.01634071627160907,5706.995936148004,5181.794127117961,2752.0,7.875566675493349,9.848109425121474e-08,0.2229033410946185,0.005057427317159768,0.00048425543399514094,347.5827353304125,0.015150751425638976,0.05000936712301938,0.0,67.4920291686556,0.00911715900061231,9.320262551902918,2.03238453014192,0.003722601365587935,4.769539495564197e-05
2023-01-01 04:00:00,13157.988511085961,0.01575912092453499,5706.995782741548,4775.666325669133,2552.0,12.293028932148376,7.769192789320304e-08,0.21915383427106674,0.0050028432213563455,0.0004725147627829176,347.58272128527494,0.015187736966266513,0.049146284758884405,0.0,67.50877168277454,0.008978961605189852,9.361312461939292,4.846130256561907,0.0036788777568128746,4.641190772815605e-05
2023-01-01 05:00:00,12876.585521121784,0.016177376938349964,5719.995963053844,4374.111670094478,2790.0,37.79881519138526,7.850859591886133e-08,0.21992352483306907,0.005014108590658057,0.0004794470386972941,347.58269007035295,0.014990060398096947,0.04921001724533568,0.0,67.53382886461588,0.008983510556281658,9.386823335746573,5.49042248932618,0.0036826747337527044,4.648594182624071e-05
2023-01-01 06:00:00,12638.367361874372,0.01881349594046713,5722.9964121786525,4178.498996809025,2978.0,2067.9695099421406,7.542175679663543e-08,0.23910019635253207,0.005153673934549924,0.0005352354059595869,347.5826772213585,0.015638033942853877,0.05302591169507641,0.0,66.71354811026971,0.009649693649589274,9.388972902861617,2.8510252150959228,0.00382822695018734,6.169833628011121e-05
2023-01-01 07:00:00,12501.40496661205,0.016767255327537544,5720.996312779181,4028.171767554545,2996.0,2460.1849899692443,8.809240561786377e-08,0.2225192651090229,0.00501097013556787,0.0004933202777023344,347.58263003969995,0.014249308905548796,0.04941453787298713,0.0,67.5523383914373,0.009013528432475054,10.007470698440248,0.5005108772956965,0.003680539271710322,4.7007683955082903e-05
2023-01-01 08:00:00,12457.265321973318,0.016932455583597284,5729.996407162329,4011.6716677968634,2990.0,2476.464217516702,1.0017167750060953e-07,0.2281788453665284,0.0049800794023678865,0.0005004192561828534,347.582623012379,0.013708763774142162,0.050068881165962344,0.0,67.56374584248478,0.00917419679182205,9.440556880451417,0.2787326246394522,0.0036805075415274153,4.761017382221534e-05
2023-01-01 09:00:00,12459.164703574628,0.01705675059280363,5718.996378207812,4023.3140563488296,3226.0,2481.977968429248,181.66342115179577,0.21449795877947536,0.0049533221249599925,0.0005066304097189878,347.5826084218598,0.012659282590439422,0.0466977128527719,0.0,67.56894265728984,0.008562469048591276,9.447266405725019,1.5214522861910067,0.003658960665155893,4.6176383265426286e-05
